From	To	Species	Gene Name
OLFM2	93145	Homo sapiens	olfactomedin 2(OLFM2)
FRMD5	84978	Homo sapiens	FERM domain containing 5(FRMD5)
OLFM3	118427	Homo sapiens	olfactomedin 3(OLFM3)
SLC9A6	10479	Homo sapiens	solute carrier family 9 member A6(SLC9A6)
SLC9A7	84679	Homo sapiens	solute carrier family 9 member A7(SLC9A7)
SLC9A8	23315	Homo sapiens	solute carrier family 9 member A8(SLC9A8)
SLC9A9	285195	Homo sapiens	solute carrier family 9 member A9(SLC9A9)
ANAPC4	29945	Homo sapiens	anaphase promoting complex subunit 4(ANAPC4)
MAPKAPK5	8550	Homo sapiens	MAPK activated protein kinase 5(MAPKAPK5)
ANAPC5	51433	Homo sapiens	anaphase promoting complex subunit 5(ANAPC5)
ROR1	4919	Homo sapiens	receptor tyrosine kinase like orphan receptor 1(ROR1)
RAD54L2	23132	Homo sapiens	RAD54 like 2(RAD54L2)
SQSTM1	8878	Homo sapiens	sequestosome 1(SQSTM1)
ANAPC1	64682	Homo sapiens	anaphase promoting complex subunit 1(ANAPC1)
OSBP2	23762	Homo sapiens	oxysterol binding protein 2(OSBP2)
LINC01252	338817	Homo sapiens	long intergenic non-protein coding RNA 1252(LINC01252)
LINC01250	101927554	Homo sapiens	long intergenic non-protein coding RNA 1250(LINC01250)
CTIF	9811	Homo sapiens	cap binding complex dependent translation initiation factor(CTIF)
ATXN3	4287	Homo sapiens	ataxin 3(ATXN3)
ATXN2	6311	Homo sapiens	ataxin 2(ATXN2)
ATXN1	6310	Homo sapiens	ataxin 1(ATXN1)
ATXN7	6314	Homo sapiens	ataxin 7(ATXN7)
SLC38A6	145389	Homo sapiens	solute carrier family 38 member 6(SLC38A6)
SLC38A9	153129	Homo sapiens	solute carrier family 38 member 9(SLC38A9)
LRRC4C	57689	Homo sapiens	leucine rich repeat containing 4C(LRRC4C)
SLC38A2	54407	Homo sapiens	solute carrier family 38 member 2(SLC38A2)
C9orf85	138241	Homo sapiens	chromosome 9 open reading frame 85(C9orf85)
LRRC4B	94030	Homo sapiens	leucine rich repeat containing 4B(LRRC4B)
ZBTB18	10472	Homo sapiens	zinc finger and BTB domain containing 18(ZBTB18)
GOT1	2805	Homo sapiens	glutamic-oxaloacetic transaminase 1(GOT1)
ZBTB16	7704	Homo sapiens	zinc finger and BTB domain containing 16(ZBTB16)
QKI	9444	Homo sapiens	QKI, KH domain containing RNA binding(QKI)
NFKB1	4790	Homo sapiens	nuclear factor kappa B subunit 1(NFKB1)
GABPB1-AS1	100129387	Homo sapiens	GABPB1 antisense RNA 1(GABPB1-AS1)
PTPRD	5789	Homo sapiens	protein tyrosine phosphatase receptor type D(PTPRD)
MLXIPL	51085	Homo sapiens	MLX interacting protein like(MLXIPL)
PTPRE	5791	Homo sapiens	protein tyrosine phosphatase receptor type E(PTPRE)
PTPRB	5787	Homo sapiens	protein tyrosine phosphatase receptor type B(PTPRB)
PTPRA	5786	Homo sapiens	protein tyrosine phosphatase receptor type A(PTPRA)
NUTM2A-AS1	728190	Homo sapiens	NUTM2A antisense RNA 1(NUTM2A-AS1)
SLCO1A2	6579	Homo sapiens	solute carrier organic anion transporter family member 1A2(SLCO1A2)
NFE2L1	4779	Homo sapiens	NFE2 like bZIP transcription factor 1(NFE2L1)
NFE2L2	4780	Homo sapiens	NFE2 like bZIP transcription factor 2(NFE2L2)
SLC25A3	5250	Homo sapiens	solute carrier family 25 member 3(SLC25A3)
HSP90AB1	3326	Homo sapiens	heat shock protein 90 alpha family class B member 1(HSP90AB1)
RASGRF2	5924	Homo sapiens	Ras protein specific guanine nucleotide releasing factor 2(RASGRF2)
LRRK2	120892	Homo sapiens	leucine rich repeat kinase 2(LRRK2)
RASGRF1	5923	Homo sapiens	Ras protein specific guanine nucleotide releasing factor 1(RASGRF1)
LRRK1	79705	Homo sapiens	leucine rich repeat kinase 1(LRRK1)
ARRB1	408	Homo sapiens	arrestin beta 1(ARRB1)
NADK2	133686	Homo sapiens	NAD kinase 2, mitochondrial(NADK2)
NCK2	8440	Homo sapiens	NCK adaptor protein 2(NCK2)
HMG20A	10363	Homo sapiens	high mobility group 20A(HMG20A)
UPP2	151531	Homo sapiens	uridine phosphorylase 2(UPP2)
ERC1	23085	Homo sapiens	ELKS/RAB6-interacting/CAST family member 1(ERC1)
ERC2	26059	Homo sapiens	ELKS/RAB6-interacting/CAST family member 2(ERC2)
DNM1L	10059	Homo sapiens	dynamin 1 like(DNM1L)
EDIL3	10085	Homo sapiens	EGF like repeats and discoidin domains 3(EDIL3)
DIS3L2	129563	Homo sapiens	DIS3 like 3'-5' exoribonuclease 2(DIS3L2)
HSP90AA1	3320	Homo sapiens	heat shock protein 90 alpha family class A member 1(HSP90AA1)
KSR1	8844	Homo sapiens	kinase suppressor of ras 1(KSR1)
KSR2	283455	Homo sapiens	kinase suppressor of ras 2(KSR2)
PARD3B	117583	Homo sapiens	par-3 family cell polarity regulator beta(PARD3B)
NT5C3A	51251	Homo sapiens	5'-nucleotidase, cytosolic IIIA(NT5C3A)
QTRT1	81890	Homo sapiens	queuine tRNA-ribosyltransferase catalytic subunit 1(QTRT1)
PPM1A	5494	Homo sapiens	protein phosphatase, Mg2+/Mn2+ dependent 1A(PPM1A)
GIGYF1	64599	Homo sapiens	GRB10 interacting GYF protein 1(GIGYF1)
PPM1B	5495	Homo sapiens	protein phosphatase, Mg2+/Mn2+ dependent 1B(PPM1B)
BIRC6	57448	Homo sapiens	baculoviral IAP repeat containing 6(BIRC6)
L3MBTL4	91133	Homo sapiens	L3MBTL histone methyl-lysine binding protein 4(L3MBTL4)
SEC22A	26984	Homo sapiens	SEC22 homolog A, vesicle trafficking protein(SEC22A)
AHDC1	27245	Homo sapiens	AT-hook DNA binding motif containing 1(AHDC1)
GTF3C1	2975	Homo sapiens	general transcription factor IIIC subunit 1(GTF3C1)
SEC23A	10484	Homo sapiens	SEC23 homolog A, COPII coat complex component(SEC23A)
NDUFB8	4714	Homo sapiens	NADH:ubiquinone oxidoreductase subunit B8(NDUFB8)
FOCAD	54914	Homo sapiens	focadhesin(FOCAD)
PPM1L	151742	Homo sapiens	protein phosphatase, Mg2+/Mn2+ dependent 1L(PPM1L)
ZBTB46	140685	Homo sapiens	zinc finger and BTB domain containing 46(ZBTB46)
PPM1H	57460	Homo sapiens	protein phosphatase, Mg2+/Mn2+ dependent 1H(PPM1H)
NTN4	59277	Homo sapiens	netrin 4(NTN4)
ZBTB43	23099	Homo sapiens	zinc finger and BTB domain containing 43(ZBTB43)
AFG1L	246269	Homo sapiens	AFG1 like ATPase(AFG1L)
NDUFB1	4707	Homo sapiens	NADH:ubiquinone oxidoreductase subunit B1(NDUFB1)
ZBTB44	29068	Homo sapiens	zinc finger and BTB domain containing 44(ZBTB44)
PPM1K	152926	Homo sapiens	protein phosphatase, Mg2+/Mn2+ dependent 1K(PPM1K)
PPM1D	8493	Homo sapiens	protein phosphatase, Mg2+/Mn2+ dependent 1D(PPM1D)
CXXC5	51523	Homo sapiens	CXXC finger protein 5(CXXC5)
PPM1E	22843	Homo sapiens	protein phosphatase, Mg2+/Mn2+ dependent 1E(PPM1E)
CXXC4	80319	Homo sapiens	CXXC finger protein 4(CXXC4)
KIAA1328	57536	Homo sapiens	KIAA1328(KIAA1328)
FCHO1	23149	Homo sapiens	FCH and mu domain containing endocytic adaptor 1(FCHO1)
FCHO2	115548	Homo sapiens	FCH and mu domain containing endocytic adaptor 2(FCHO2)
SH3BP5	9467	Homo sapiens	SH3 domain binding protein 5(SH3BP5)
LRRC8C	84230	Homo sapiens	leucine rich repeat containing 8 VRAC subunit C(LRRC8C)
LRRC8D	55144	Homo sapiens	leucine rich repeat containing 8 VRAC subunit D(LRRC8D)
LRRC8A	56262	Homo sapiens	leucine rich repeat containing 8 VRAC subunit A(LRRC8A)
LRRC8B	23507	Homo sapiens	leucine rich repeat containing 8 VRAC subunit B(LRRC8B)
SH2B3	10019	Homo sapiens	SH2B adaptor protein 3(SH2B3)
ATP9B	374868	Homo sapiens	ATPase phospholipid transporting 9B (putative)(ATP9B)
ATP9A	10079	Homo sapiens	ATPase phospholipid transporting 9A (putative)(ATP9A)
BEND6	221336	Homo sapiens	BEN domain containing 6(BEND6)
SH2B1	25970	Homo sapiens	SH2B adaptor protein 1(SH2B1)
SLC12A2	6558	Homo sapiens	solute carrier family 12 member 2(SLC12A2)
CYB5B	80777	Homo sapiens	cytochrome b5 type B(CYB5B)
PTPN1	5770	Homo sapiens	protein tyrosine phosphatase non-receptor type 1(PTPN1)
SEC24B	10427	Homo sapiens	SEC24 homolog B, COPII coat complex component(SEC24B)
SLC12A5	57468	Homo sapiens	solute carrier family 12 member 5(SLC12A5)
SEC24A	10802	Homo sapiens	SEC24 homolog A, COPII coat complex component(SEC24A)
NDUFA5	4698	Homo sapiens	NADH:ubiquinone oxidoreductase subunit A5(NDUFA5)
NDUFA4	4697	Homo sapiens	NDUFA4 mitochondrial complex associated(NDUFA4)
HIP1R	9026	Homo sapiens	huntingtin interacting protein 1 related(HIP1R)
IMMT	10989	Homo sapiens	inner membrane mitochondrial protein(IMMT)
MBOAT2	129642	Homo sapiens	membrane bound O-acyltransferase domain containing 2(MBOAT2)
TPD52L2	7165	Homo sapiens	TPD52 like 2(TPD52L2)
DOP1B	9980	Homo sapiens	DOP1 leucine zipper like protein B(DOP1B)
NOVA1	4857	Homo sapiens	NOVA alternative splicing regulator 1(NOVA1)
NOVA2	4858	Homo sapiens	NOVA alternative splicing regulator 2(NOVA2)
DOP1A	23033	Homo sapiens	DOP1 leucine zipper like protein A(DOP1A)
PTPN9	5780	Homo sapiens	protein tyrosine phosphatase non-receptor type 9(PTPN9)
CCM2	83605	Homo sapiens	CCM2 scaffold protein(CCM2)
PTPN4	5775	Homo sapiens	protein tyrosine phosphatase non-receptor type 4(PTPN4)
SMAP2	64744	Homo sapiens	small ArfGAP2(SMAP2)
PTPN5	84867	Homo sapiens	protein tyrosine phosphatase non-receptor type 5(PTPN5)
SMAP1	60682	Homo sapiens	small ArfGAP 1(SMAP1)
PTPN2	5771	Homo sapiens	protein tyrosine phosphatase non-receptor type 2(PTPN2)
AHCYL2	23382	Homo sapiens	adenosylhomocysteinase like 2(AHCYL2)
AHCYL1	10768	Homo sapiens	adenosylhomocysteinase like 1(AHCYL1)
CCNI	10983	Homo sapiens	cyclin I(CCNI)
TMEM41B	440026	Homo sapiens	transmembrane protein 41B(TMEM41B)
PLEKHB2	55041	Homo sapiens	pleckstrin homology domain containing B2(PLEKHB2)
CCNH	902	Homo sapiens	cyclin H(CCNH)
PREP	5550	Homo sapiens	prolyl endopeptidase(PREP)
THUMPD2	80745	Homo sapiens	THUMP domain containing 2(THUMPD2)
KANTR	102723508	Homo sapiens	KANTR integral membrane protein(KANTR)
JMJD1C	221037	Homo sapiens	jumonji domain containing 1C(JMJD1C)
CCNC	892	Homo sapiens	cyclin C(CCNC)
CCAR1	55749	Homo sapiens	cell division cycle and apoptosis regulator 1(CCAR1)
RASSF4	83937	Homo sapiens	Ras association domain family member 4(RASSF4)
FAM53B	9679	Homo sapiens	family with sequence similarity 53 member B(FAM53B)
KIF21A	55605	Homo sapiens	kinesin family member 21A(KIF21A)
SLC12A6	9990	Homo sapiens	solute carrier family 12 member 6(SLC12A6)
SEC62	7095	Homo sapiens	SEC62 homolog, preprotein translocation factor(SEC62)
CALN1	83698	Homo sapiens	calneuron 1(CALN1)
SEC63	11231	Homo sapiens	SEC63 homolog, protein translocation regulator(SEC63)
SCN1A	6323	Homo sapiens	sodium voltage-gated channel alpha subunit 1(SCN1A)
ACVR1	90	Homo sapiens	activin A receptor type 1(ACVR1)
ST6GAL1	6480	Homo sapiens	ST6 beta-galactoside alpha-2,6-sialyltransferase 1(ST6GAL1)
ST6GAL2	84620	Homo sapiens	ST6 beta-galactoside alpha-2,6-sialyltransferase 2(ST6GAL2)
SFMBT1	51460	Homo sapiens	Scm like with four mbt domains 1(SFMBT1)
SFMBT2	57713	Homo sapiens	Scm like with four mbt domains 2(SFMBT2)
ANK2	287	Homo sapiens	ankyrin 2(ANK2)
ANK3	288	Homo sapiens	ankyrin 3(ANK3)
ANK1	286	Homo sapiens	ankyrin 1(ANK1)
PISD	23761	Homo sapiens	phosphatidylserine decarboxylase(PISD)
SHTN1	57698	Homo sapiens	shootin 1(SHTN1)
STX1B	112755	Homo sapiens	syntaxin 1B(STX1B)
CCNY	219771	Homo sapiens	cyclin Y(CCNY)
PPP1R3E	90673	Homo sapiens	protein phosphatase 1 regulatory subunit 3E(PPP1R3E)
SPATA13	221178	Homo sapiens	spermatogenesis associated 13(SPATA13)
STX1A	6804	Homo sapiens	syntaxin 1A(STX1A)
L3MBTL1	26013	Homo sapiens	L3MBTL histone methyl-lysine binding protein 1(L3MBTL1)
ILRUN	64771	Homo sapiens	inflammation and lipid regulator with UBA-like and NBR1-like domains(ILRUN)
PCDH10	57575	Homo sapiens	protocadherin 10(PCDH10)
PCDH15	65217	Homo sapiens	protocadherin related 15(PCDH15)
BRCC3	79184	Homo sapiens	BRCA1/BRCA2-containing complex subunit 3(BRCC3)
PCDH17	27253	Homo sapiens	protocadherin 17(PCDH17)
PRH1	5554	Homo sapiens	proline rich protein HaeIII subfamily 1(PRH1)
TGOLN2	10618	Homo sapiens	trans-golgi network protein 2(TGOLN2)
C5orf24	134553	Homo sapiens	chromosome 5 open reading frame 24(C5orf24)
DANT2	642776	Homo sapiens	DXZ4 associated non-coding transcript 2, distal(DANT2)
PGBD5	79605	Homo sapiens	piggyBac transposable element derived 5(PGBD5)
ANKH	56172	Homo sapiens	ANKH inorganic pyrophosphate transport regulator(ANKH)
TSPAN9	10867	Homo sapiens	tetraspanin 9(TSPAN9)
ERI3	79033	Homo sapiens	ERI1 exoribonuclease family member 3(ERI3)
TSPAN7	7102	Homo sapiens	tetraspanin 7(TSPAN7)
HIVEP1	3096	Homo sapiens	HIVEP zinc finger 1(HIVEP1)
TSPAN5	10098	Homo sapiens	tetraspanin 5(TSPAN5)
ST8SIA5	29906	Homo sapiens	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5(ST8SIA5)
SYMPK	8189	Homo sapiens	symplekin scaffold protein(SYMPK)
HIVEP3	59269	Homo sapiens	HIVEP zinc finger 3(HIVEP3)
TSPAN3	10099	Homo sapiens	tetraspanin 3(TSPAN3)
HIVEP2	3097	Homo sapiens	HIVEP zinc finger 2(HIVEP2)
SCN3B	55800	Homo sapiens	sodium voltage-gated channel beta subunit 3(SCN3B)
HMGCLL1	54511	Homo sapiens	3-hydroxy-3-methylglutaryl-CoA lyase like 1(HMGCLL1)
SCN3A	6328	Homo sapiens	sodium voltage-gated channel alpha subunit 3(SCN3A)
SEC31B	25956	Homo sapiens	SEC31 homolog B, COPII coat complex component(SEC31B)
PAG1	55824	Homo sapiens	phosphoprotein membrane anchor with glycosphingolipid microdomains 1(PAG1)
SEC31A	22872	Homo sapiens	SEC31 homolog A, COPII coat complex component(SEC31A)
XRCC6	2547	Homo sapiens	X-ray repair cross complementing 6(XRCC6)
IQSEC2	23096	Homo sapiens	IQ motif and Sec7 domain ArfGEF 2(IQSEC2)
IQSEC1	9922	Homo sapiens	IQ motif and Sec7 domain ArfGEF 1(IQSEC1)
LRRN2	10446	Homo sapiens	leucine rich repeat neuronal 2(LRRN2)
PPP1R21	129285	Homo sapiens	protein phosphatase 1 regulatory subunit 21(PPP1R21)
ST8SIA1	6489	Homo sapiens	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1(ST8SIA1)
ZFR2	23217	Homo sapiens	zinc finger RNA binding protein 2(ZFR2)
XRCC5	7520	Homo sapiens	X-ray repair cross complementing 5(XRCC5)
ADHFE1	137872	Homo sapiens	alcohol dehydrogenase iron containing 1(ADHFE1)
ST8SIA3	51046	Homo sapiens	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3(ST8SIA3)
IQSEC3	440073	Homo sapiens	IQ motif and Sec7 domain ArfGEF 3(IQSEC3)
DCLK2	166614	Homo sapiens	doublecortin like kinase 2(DCLK2)
RASSF8	11228	Homo sapiens	Ras association domain family member 8(RASSF8)
PNMA8A	55228	Homo sapiens	PNMA family member 8A(PNMA8A)
HSPA12A	259217	Homo sapiens	heat shock protein family A (Hsp70) member 12A(HSPA12A)
DCLK1	9201	Homo sapiens	doublecortin like kinase 1(DCLK1)
ANLN	54443	Homo sapiens	anillin, actin binding protein(ANLN)
WNK1	65125	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ID2	3398	Homo sapiens	inhibitor of DNA binding 2(ID2)
WNK2	65268	Homo sapiens	WNK lysine deficient protein kinase 2(WNK2)
ACER3	55331	Homo sapiens	alkaline ceramidase 3(ACER3)
LRRN1	57633	Homo sapiens	leucine rich repeat neuronal 1(LRRN1)
CALM3	808	Homo sapiens	calmodulin 3(CALM3)
CALM1	801	Homo sapiens	calmodulin 1(CALM1)
SCN2A	6326	Homo sapiens	sodium voltage-gated channel alpha subunit 2(SCN2A)
RGL1	23179	Homo sapiens	ral guanine nucleotide dissociation stimulator like 1(RGL1)
CALM2	805	Homo sapiens	calmodulin 2(CALM2)
KIAA0825	285600	Homo sapiens	KIAA0825(KIAA0825)
CD22	933	Homo sapiens	CD22 molecule(CD22)
PTPRT	11122	Homo sapiens	protein tyrosine phosphatase receptor type T(PTPRT)
PTPRR	5801	Homo sapiens	protein tyrosine phosphatase receptor type R(PTPRR)
PTPRS	5802	Homo sapiens	protein tyrosine phosphatase receptor type S(PTPRS)
DIRAS1	148252	Homo sapiens	DIRAS family GTPase 1(DIRAS1)
PTPRN	5798	Homo sapiens	protein tyrosine phosphatase receptor type N(PTPRN)
TECR	9524	Homo sapiens	trans-2,3-enoyl-CoA reductase(TECR)
DIRAS2	54769	Homo sapiens	DIRAS family GTPase 2(DIRAS2)
PTPRO	5800	Homo sapiens	protein tyrosine phosphatase receptor type O(PTPRO)
INTS10	55174	Homo sapiens	integrator complex subunit 10(INTS10)
MIA2	4253	Homo sapiens	MIA SH3 domain ER export factor 2(MIA2)
PTPRM	5797	Homo sapiens	protein tyrosine phosphatase receptor type M(PTPRM)
AP2A1	160	Homo sapiens	adaptor related protein complex 2 subunit alpha 1(AP2A1)
N4BP2L1	90634	Homo sapiens	NEDD4 binding protein 2 like 1(N4BP2L1)
PTPRJ	5795	Homo sapiens	protein tyrosine phosphatase receptor type J(PTPRJ)
MIA3	375056	Homo sapiens	MIA SH3 domain ER export factor 3(MIA3)
IDE	3416	Homo sapiens	insulin degrading enzyme(IDE)
PTPRK	5796	Homo sapiens	protein tyrosine phosphatase receptor type K(PTPRK)
AP2A2	161	Homo sapiens	adaptor related protein complex 2 subunit alpha 2(AP2A2)
N4BP2L2	10443	Homo sapiens	NEDD4 binding protein 2 like 2(N4BP2L2)
PTPRF	5792	Homo sapiens	protein tyrosine phosphatase receptor type F(PTPRF)
LARP1B	55132	Homo sapiens	La ribonucleoprotein 1B(LARP1B)
PTPRG	5793	Homo sapiens	protein tyrosine phosphatase receptor type G(PTPRG)
BABAM2	9577	Homo sapiens	BRISC and BRCA1 A complex member 2(BABAM2)
SPTLC1	10558	Homo sapiens	serine palmitoyltransferase long chain base subunit 1(SPTLC1)
SPTLC2	9517	Homo sapiens	serine palmitoyltransferase long chain base subunit 2(SPTLC2)
RSRC1	51319	Homo sapiens	arginine and serine rich coiled-coil 1(RSRC1)
NCS1	23413	Homo sapiens	neuronal calcium sensor 1(NCS1)
ARIH2	10425	Homo sapiens	ariadne RBR E3 ubiquitin protein ligase 2(ARIH2)
IDS	3423	Homo sapiens	iduronate 2-sulfatase(IDS)
KIF1B	23095	Homo sapiens	kinesin family member 1B(KIF1B)
KIF1A	547	Homo sapiens	kinesin family member 1A(KIF1A)
ARIH1	25820	Homo sapiens	ariadne RBR E3 ubiquitin protein ligase 1(ARIH1)
CTSD	1509	Homo sapiens	cathepsin D(CTSD)
CTSB	1508	Homo sapiens	cathepsin B(CTSB)
NXPE3	91775	Homo sapiens	neurexophilin and PC-esterase domain family member 3(NXPE3)
GRIPAP1	56850	Homo sapiens	GRIP1 associated protein 1(GRIPAP1)
LYNX1	66004	Homo sapiens	Ly6/neurotoxin 1(LYNX1)
ZFR	51663	Homo sapiens	zinc finger RNA binding protein(ZFR)
SORCS1	114815	Homo sapiens	sortilin related VPS10 domain containing receptor 1(SORCS1)
PLAAT3	11145	Homo sapiens	phospholipase A and acyltransferase 3(PLAAT3)
ANO6	196527	Homo sapiens	anoctamin 6(ANO6)
SORCS3	22986	Homo sapiens	sortilin related VPS10 domain containing receptor 3(SORCS3)
ANO4	121601	Homo sapiens	anoctamin 4(ANO4)
SORCS2	57537	Homo sapiens	sortilin related VPS10 domain containing receptor 2(SORCS2)
ANO5	203859	Homo sapiens	anoctamin 5(ANO5)
SUPT3H	8464	Homo sapiens	SPT3 homolog, SAGA and STAGA complex component(SUPT3H)
ANO3	63982	Homo sapiens	anoctamin 3(ANO3)
AJAP1	55966	Homo sapiens	adherens junctions associated protein 1(AJAP1)
CTTN	2017	Homo sapiens	cortactin(CTTN)
KIF2A	3796	Homo sapiens	kinesin family member 2A(KIF2A)
ZNF780B	163131	Homo sapiens	zinc finger protein 780B(ZNF780B)
CD47	961	Homo sapiens	CD47 molecule(CD47)
GLCCI1	113263	Homo sapiens	glucocorticoid induced 1(GLCCI1)
CD46	4179	Homo sapiens	CD46 molecule(CD46)
PDZRN3	23024	Homo sapiens	PDZ domain containing ring finger 3(PDZRN3)
LINC01138	388685	Homo sapiens	long intergenic non-protein coding RNA 1138(LINC01138)
PRKN	5071	Homo sapiens	parkin RBR E3 ubiquitin protein ligase(PRKN)
STX12	23673	Homo sapiens	syntaxin 12(STX12)
SLC43A2	124935	Homo sapiens	solute carrier family 43 member 2(SLC43A2)
STX16	8675	Homo sapiens	syntaxin 16(STX16)
INPP1	3628	Homo sapiens	inositol polyphosphate-1-phosphatase(INPP1)
STX18	53407	Homo sapiens	syntaxin 18(STX18)
XIAP	331	Homo sapiens	X-linked inhibitor of apoptosis(XIAP)
TXLNG	55787	Homo sapiens	taxilin gamma(TXLNG)
LINC01170	103724389	Homo sapiens	long intergenic non-protein coding RNA 1170(LINC01170)
CAMKK1	84254	Homo sapiens	calcium/calmodulin dependent protein kinase kinase 1(CAMKK1)
CAMKK2	10645	Homo sapiens	calcium/calmodulin dependent protein kinase kinase 2(CAMKK2)
EXOSC6	118460	Homo sapiens	exosome component 6(EXOSC6)
PAK1	5058	Homo sapiens	p21 (RAC1) activated kinase 1(PAK1)
RXRA	6256	Homo sapiens	retinoid X receptor alpha(RXRA)
STAMBPL1	57559	Homo sapiens	STAM binding protein like 1(STAMBPL1)
CAMK2N1	55450	Homo sapiens	calcium/calmodulin dependent protein kinase II inhibitor 1(CAMK2N1)
GPC1	2817	Homo sapiens	glypican 1(GPC1)
CREG2	200407	Homo sapiens	cellular repressor of E1A stimulated genes 2(CREG2)
DGLUCY	80017	Homo sapiens	D-glutamate cyclase(DGLUCY)
CD59	966	Homo sapiens	CD59 molecule (CD59 blood group)(CD59)
GPC5	2262	Homo sapiens	glypican 5(GPC5)
PAK3	5063	Homo sapiens	p21 (RAC1) activated kinase 3(PAK3)
GPC6	10082	Homo sapiens	glypican 6(GPC6)
PAK2	5062	Homo sapiens	p21 (RAC1) activated kinase 2(PAK2)
AASDHPPT	60496	Homo sapiens	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase(AASDHPPT)
LNPK	80856	Homo sapiens	lunapark, ER junction formation factor(LNPK)
PAK5	57144	Homo sapiens	p21 (RAC1) activated kinase 5(PAK5)
RFTN2	130132	Homo sapiens	raftlin family member 2(RFTN2)
PLEKHA1	59338	Homo sapiens	pleckstrin homology domain containing A1(PLEKHA1)
ERCC6L2	375748	Homo sapiens	ERCC excision repair 6 like 2(ERCC6L2)
MIB2	142678	Homo sapiens	MIB E3 ubiquitin protein ligase 2(MIB2)
PLEKHA5	54477	Homo sapiens	pleckstrin homology domain containing A5(PLEKHA5)
PLEKHA6	22874	Homo sapiens	pleckstrin homology domain containing A6(PLEKHA6)
RSRC2	65117	Homo sapiens	arginine and serine rich coiled-coil 2(RSRC2)
AP2B1	163	Homo sapiens	adaptor related protein complex 2 subunit beta 1(AP2B1)
MIAT	440823	Homo sapiens	myocardial infarction associated transcript(MIAT)
MIB1	57534	Homo sapiens	MIB E3 ubiquitin protein ligase 1(MIB1)
DPY19L1	23333	Homo sapiens	dpy-19 like C-mannosyltransferase 1(DPY19L1)
DPY19L2	283417	Homo sapiens	dpy-19 like 2(DPY19L2)
KIF26B	55083	Homo sapiens	kinesin family member 26B(KIF26B)
RAMP1	10267	Homo sapiens	receptor activity modifying protein 1(RAMP1)
SCARB2	950	Homo sapiens	scavenger receptor class B member 2(SCARB2)
FHOD3	80206	Homo sapiens	formin homology 2 domain containing 3(FHOD3)
SCARB1	949	Homo sapiens	scavenger receptor class B member 1(SCARB1)
CD81	975	Homo sapiens	CD81 molecule(CD81)
WWC1	23286	Homo sapiens	WW and C2 domain containing 1(WWC1)
WWC2	80014	Homo sapiens	WW and C2 domain containing 2(WWC2)
JADE1	79960	Homo sapiens	jade family PHD finger 1(JADE1)
KNDC1	85442	Homo sapiens	kinase non-catalytic C-lobe domain containing 1(KNDC1)
ADAMTS9-AS2	100507098	Homo sapiens	ADAMTS9 antisense RNA 2(ADAMTS9-AS2)
RGS4	5999	Homo sapiens	regulator of G protein signaling 4(RGS4)
PPME1	51400	Homo sapiens	protein phosphatase methylesterase 1(PPME1)
KIF5C	3800	Homo sapiens	kinesin family member 5C(KIF5C)
FRRS1L	23732	Homo sapiens	ferric chelate reductase 1 like(FRRS1L)
KIF5B	3799	Homo sapiens	kinesin family member 5B(KIF5B)
KIF5A	3798	Homo sapiens	kinesin family member 5A(KIF5A)
PALM	5064	Homo sapiens	paralemmin(PALM)
PPFIA1	8500	Homo sapiens	PTPRF interacting protein alpha 1(PPFIA1)
EP300	2033	Homo sapiens	E1A binding protein p300(EP300)
BAALC	79870	Homo sapiens	BAALC binder of MAP3K1 and KLF4(BAALC)
ARID2	196528	Homo sapiens	AT-rich interaction domain 2(ARID2)
PPFIA4	8497	Homo sapiens	PTPRF interacting protein alpha 4(PPFIA4)
SBF2	81846	Homo sapiens	SET binding factor 2(SBF2)
RGS6	9628	Homo sapiens	regulator of G protein signaling 6(RGS6)
PPFIA2	8499	Homo sapiens	PTPRF interacting protein alpha 2(PPFIA2)
RGS7	6000	Homo sapiens	regulator of G protein signaling 7(RGS7)
SLC30A7	148867	Homo sapiens	solute carrier family 30 member 7(SLC30A7)
KIRREL3	84623	Homo sapiens	kirre like nephrin family adhesion molecule 3(KIRREL3)
SLC30A6	55676	Homo sapiens	solute carrier family 30 member 6(SLC30A6)
SLC30A9	10463	Homo sapiens	solute carrier family 30 member 9(SLC30A9)
LMTK3	114783	Homo sapiens	lemur tyrosine kinase 3(LMTK3)
LMTK2	22853	Homo sapiens	lemur tyrosine kinase 2(LMTK2)
RUNDC3B	154661	Homo sapiens	RUN domain containing 3B(RUNDC3B)
RUNDC3A	10900	Homo sapiens	RUN domain containing 3A(RUNDC3A)
CAMKMT	79823	Homo sapiens	calmodulin-lysine N-methyltransferase(CAMKMT)
TMX4	56255	Homo sapiens	thioredoxin related transmembrane protein 4(TMX4)
TMX3	54495	Homo sapiens	thioredoxin related transmembrane protein 3(TMX3)
TMX2	51075	Homo sapiens	thioredoxin related transmembrane protein 2(TMX2)
HNRNPUL1	11100	Homo sapiens	heterogeneous nuclear ribonucleoprotein U like 1(HNRNPUL1)
DOK5	55816	Homo sapiens	docking protein 5(DOK5)
